time,A01,A02,A03,A04,A05,A06,A07,A08,A09,B01,B02,B03,B04,B05,B06,B07,B08,B09
2022-01-03 11:22:04.188,0.0,1.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-01-03 11:22:40.888,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-01-03 12:49:50.153,0.0,1.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-01-04 06:01:44.257,0.0,1.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-01-04 06:02:14.958,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-01-04 06:14:02.775,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-01-21 08:46:08.500,0.0,1.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-01-21 08:46:41.396,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-01-22 11:59:15.570,0.0,1.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-01-22 12:00:20.070,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-01-22 12:02:59.055,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-02-05 07:49:41.419,0.0,1.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-02-05 07:49:58.345,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-02-05 08:46:57.437,0.0,1.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-02-05 08:47:03.837,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-05-03 12:16:16.188,0.0,1.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-05-03 12:16:38.491,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-05-03 12:16:48.361,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-06-28 15:03:11.107,0.0,1.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-06-28 15:03:18.209,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,,,
2022-06-28 15:15:41.829,0.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,,0.0,
2022-06-28 16:52:36.447,0.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,,0.0,
2022-06-28 17:25:26.878,0.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,,0.0,
2022-06-28 17:44:42.885,0.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,,0.0,
